Dolná Krupá,919 65,70
Dolná Lehota,027 41,14
Dolná Lehota,976 98,10
Dolná Mariková,018 02,48
Dolná Mičiná,974 01,2
Dolná Môlča,974 01,2
Dolná Poruba,914 43,69
Dolná Potôň,930 02,15
Dolná Seč,935 31,30
Dolná Streda,925 63,16
Dolná Strehová,991 02,73
Dolná Súča,913 32,69
Dolná Štubňa,039 01,71
Dolná Tižina,013 04,79
Dolná Trnávka,966 21,78
Dolná Ves,967 01,78
Dolná Závrská,913 33,69
Dolná Ždaňa,966 01,78
Dolné Breziny,962 61,76
Dolné Držkovce,956 54,1
Dolné Dubové,919 52,70
Dolné Hámre,966 61,77
Dolné Chlebany,956 31,67
Dolné Janíky,930 39,15
Dolné Jaseno,038 02,35
Dolné Kočkovce,020 01,51
Dolné Košariská,906 15,38
Dolné Krškany,949 05,40
Dolné Lefantovce,951 45,40
Dolné Lelovce,972 43,50
Dolné Lovčice,919 27,70
Dolné Mladonice,962 41,28
Dolné Motešice,913 26,69
Dolné Naštice,957 01,1
Dolné Obdokovce,951 02,40
Dolné Orešany,919 02,70
Dolné Otrokovce,920 61,18
Dolné Ozorovce,957 01,1
Dolné Plachtince,991 24,73
Dolné Príbelce,991 25,73
Dolné Rykynčice,962 55,28
Dolné Saliby,925 02,16
Dolné Semerovce,935 85,30
Dolné Sľažany,951 71,75
Dolné Srnie,916 41,41
Dolné Strháre,991 03,73
Dolné Trhovište,920 61,18
Dolné Turovce,935 81,30
Dolné Vestenice,972 23,50
Dolné Zahorany,985 42,53
Dolné Zelenice,920 52,18
Dolný Badín,962 51,28
Dolný Bar,930 14,15
Dolný Ďur,935 34,30
Dolný Harmanec,976 03,2
Dolný Hričov,013 41,79
Dolný Chotár,925 41,16
Dolný Jalšovík,962 41,28
Dolný Jatov,941 10,42
Dolný Jelenec,976 02,2
Dolný Kalník,038 02,35
Dolný Kubín,026 01,14
Dolný Les,072 13,37
Dolný Lieskov,018 21,48
Dolný Lopašov,922 04,45
Dolný Moštenec,017 01,48
Dolný Ohaj,941 43,42
Dolný Pial,935 37,30
Dolný Smokovec,059 81,47
Dolný Štál,930 10,15
Dolný Štefanov,027 44,72
